01-21-2015 17:40 (01:05) xwang33 3830603500010001 1H|13C Chloroform-d|DMSO|Other VT=No None
01-21-2015 20:33 (00:06) moneill9 2018973503020000  Chloroform-d VT=No None
01-22-2015 11:59 (00:05) bbarret8 3414043503010001 1H|31P Benzene-d6 VT=No None
01-22-2015 12:39 (00:14) abastian 2022263503020000 1H|13C Chloroform-d VT=No None
01-22-2015 13:05 (00:09) tjarvis 201892350302000 1H Chloroform-d VT=No None
01-22-2015 15:15 (00:13) gliu3 3720133503010001 1H|13C Chloroform-d VT=No None
01-22-2015 15:53 (00:07) gshaw1 2019423503020000 1H Chloroform-d VT=No None
01-22-2015 16:04 (00:07) cmeyer7 2018953503020000 1H  VT=No None
01-22-2015 18:28 (00:09) cchang5 2016383503020000 1H Chloroform-d VT=No None
01-22-2015 21:22 (00:56) rcanales 350071311200000010 1H Chloroform-d VT=No None
01-23-2015 09:26 (01:02) abastian 2022263503020000 1H|13C DMSO VT=No None
01-23-2015 10:34 (00:39) esperi 201673 1H|13C DMSO VT=No None
01-23-2015 11:00 (00:06) jkessle2 3414043503010001 1H Chloroform-d|Benzene-d6 VT=No None
01-23-2015 12:34 (01:32) ddicosmo 9999999150 1H|31P DMSO VT=No None
01-23-2015 14:03 (00:30) jkessle2 3414043503010001 1H|13C|31P Benzene-d6 VT=No None
01-23-2015 14:24 (00:20) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-23-2015 14:51 (00:25) hwang11 2016733503020000 1H Chloroform-d|DMSO VT=No None
01-23-2015 15:11 (00:09) lwoods4 2016383503020000 1H Chloroform-d VT=No None
01-23-2015 15:44 (00:22) abastian 2022263503020000 1H|13C DMSO VT=No None
01-23-2015 17:01 (01:03) jkessle2 3414043503010001 1H|13C|31P Benzene-d6 VT=No None
01-23-2015 17:13 (00:10) jmeloche 2018953503020000 1H|13C Chloroform-d VT=No None
01-23-2015 17:21 (00:05) cmeyer7 2018953503020000 1H  VT=No None
01-23-2015 22:09 (02:16) lsun4 3500713112010001 1H DMSO VT=30 None
01-23-2015 23:41 (00:05) xwang26 3414033503010001 1H Chloroform-d VT=No None
01-24-2015 10:02 (00:03) krodrig3    VT=No None
01-24-2015 12:28 (00:21) lwoods4 2016383503020000 1H Chloroform-d VT=No None
01-24-2015 12:59 (00:26) jkessle2 3414043503010001 1H|13C|31P Benzene-d6 VT= None
01-24-2015 19:20 (05:43) lsun4 3500713112010001 1H DMSO VT=60 None
01-24-2015 23:21 (03:57) sseo3 2618263101020000 1H|19F DMSO VT=30 None
01-25-2015 13:03 (00:06) xwang26 3414033503010001 1H Chloroform-d VT=No None
01-25-2015 20:07 (00:00) lsun4 3500713112010001 1H DMSO VT=60 None
01-25-2015 20:12 (00:00) lsun4 3500713112010001 1H DMSO VT=60 None
01-26-2015 08:38 (00:02) jpontius    VT=No Fixed, no CAP in probe.
01-26-2015 10:43 (00:26) sbrown3 2018573503020000 1H|13C Chloroform-d VT=No None
01-26-2015 11:56 (00:24) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-26-2015 12:24 (00:27) dbabbini 3414043503010001 1H|31P Chloroform-d|Benzene-d6 VT=No None
01-26-2015 13:31 (00:32) jcipress 2018573503020000 1H Chloroform-d VT=No None
01-26-2015 13:38 (00:06) svilanov 3414043503010001 1H|31P Benzene-d6 VT=No None
01-26-2015 13:49 (00:06) gliu3 3720133503010001 1H Chloroform-d VT=No None
01-26-2015 14:08 (00:10) prothste 3414043503010001 1H|31P Benzene-d6 VT=No None
01-26-2015 14:19 (00:06) xwang26 3414033503010001 1H Chloroform-d VT=No None
01-26-2015 14:34 (00:06) mhoffbau 3414043503010001 1H Chloroform-d VT=No None
01-26-2015 14:51 (00:10) bbarret8 3414043503010001 1H|31P Benzene-d6 VT=No None
01-26-2015 15:14 (00:14) klewis9 3406993503010001 1H Chloroform-d|D2O VT=No None
01-26-2015 15:30 (00:15) mhoffbau 3414043503010001 1H Chloroform-d VT=No None
01-26-2015 16:12 (00:25) mahlers    VT=No None
01-26-2015 16:14 (00:01) mahlers 2016383503020000 1H Chloroform-d VT=No None
01-26-2015 16:21 (00:06) bbarret8 3414043503010001 1H|31P Benzene-d6 VT=No None
01-26-2015 17:32 (00:26) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-26-2015 23:12 (03:50) sseo3 2618263101020000 1H|19F DMSO VT=40 None
01-27-2015 09:52 (00:00) jpontius    VT=No LN2 Fill
01-27-2015 10:35 (00:01) jkessle2    VT=No None
01-27-2015 14:35 (03:21) sseo3 2618263101020000 1H|19F DMSO VT=40 None
01-27-2015 17:41 (02:32) dbabbini 3414043503010001 1H|13C|31P Chloroform-d|Benzene-d6 VT=-10 None
01-27-2015 18:57 (00:54) rcanales 350071311200000010 1H Chloroform-d VT=No None
01-27-2015 22:33 (03:13) sseo3 2618263101020000 1H|19F Chloroform-d|DMSO VT=50 None
01-28-2015 08:23 (00:14) jeberle 3406993503010001 1H Chloroform-d|Benzene-d6|Toluene-d8 VT=No None
01-28-2015 09:58 (00:07) xwang26 3414033503010001 1H Chloroform-d VT=No None
